sample_id,route_file_sha256,map_id,route_id,label_status,true_label,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,source_machine,match_status,vehicle_configuration_fingerprint_summary,feature_version,feature_source,feature_missing_reason,route_length_m,point_count,sampling_spacing_mean_m,sampling_spacing_median_m,sampling_spacing_p95_m,curvature_mean_1pm,curvature_abs_mean_1pm,curvature_abs_max_1pm,curvature_abs_p50_1pm,curvature_abs_p90_1pm,curvature_abs_p95_1pm,curvature_abs_p99_1pm,curvature_change_abs_mean_1pm2,curvature_change_abs_max_1pm2,curvature_change_abs_p95_1pm2,slope_mean,slope_abs_mean,slope_abs_max,slope_abs_p95,slope_change_abs_mean_1pm,slope_change_abs_max_1pm,slope_change_abs_p95_1pm,speed_mean_mps,speed_max_mps,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_abs_curvature_product_mean_mpspm,speed_abs_curvature_product_p95_mpspm,lateral_accel_proxy_mean_mps2,lateral_accel_proxy_max_mps2,lateral_accel_proxy_p95_mps2,speed_abs_curvature_correlation,steer_abs_mean_rad,steer_abs_max_rad,steer_abs_p50_rad,steer_abs_p90_rad,steer_abs_p95_rad,steer_change_abs_mean_radpm,steer_change_abs_max_radpm,steer_change_abs_p95_radpm,yaw_rate_abs_mean_radps,yaw_rate_abs_max_radps,yaw_rate_abs_p95_radps,yaw_rate_change_abs_mean_radps_per_m,yaw_rate_change_abs_max_radps_per_m,yaw_rate_change_abs_p95_radps_per_m,static_left_clearance_min_m,static_right_clearance_min_m,static_boundary_clearance_min_m,window10m_max_mean_abs_curvature_1pm,window10m_max_mean_abs_steer_change_radpm,window10m_min_mean_left_clearance_m,window10m_min_mean_right_clearance_m,steering_source_dim,demo_evidence_status
PG-SHANYU000-250b207fe1290aa9,250b207fe1290aa927408af5427cf6e86d1cff6cfab66a1470f1524754e12f8f,cliff_1,cliff_1,labeled,1,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,135.27445151053655,678,0.1998145517142342,0.2000000000000028,0.2000000000000028,0.0017531315230873,0.003576876748688,0.0359465612986244,0.0022017382184729,0.007185429342553,0.0076861239100586,0.0322352470484787,0.0007891878058655,0.0233439538048321,0.0034100074010893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5041787635482,26.854883655558208,18.46743993882105,25.323353946203667,26.10110206167873,0.0511362606664006,0.1357135351781629,0.8382143955010969,2.625607436772213,2.421406149809436,-0.3533376679295183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511362606664006,0.302335852093351,0.1357135351781629,0.0097072413611699,0.1256665185814381,0.0339139885509403,4.6185767628921175,4.478909838477818,4.478909838477818,0.0136926525401393,0.0,4.935715563448605,4.690348625440671,1,本机恢复数据派生结果
PG-SHANYU000-5618f7d508ec6ef2,5618f7d508ec6ef255e472cf093b45dd830e886b60bb384453493cb1d261ebe6,cliff_2,cliff_2,labeled,1,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,578.7529800705895,2895,0.1999837526159604,0.1999999999999886,0.2000000000000454,0.0059838594627218,0.006737537945933,0.0615622931145204,0.0063723932588037,0.006372659557602,0.006373252059441,0.0136917401153933,0.0002070425936877,0.0440172154245504,0.0002060420952137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.36885627078718,33.4138606500756,33.413639740638146,33.41380042653718,33.413823628584424,0.1965543766437113,0.2129319591143893,6.175818748239607,7.114905947271134,7.114802974754803,-0.3459262301606104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1965543766437113,0.5228509481873582,0.2129319591143893,0.002186618404233,0.1689390833229713,0.0056566699866121,4.301204078622872,3.606363291929758,3.606363291929758,0.0245151642490197,0.0,4.732703576738127,4.817756680729051,1,本机恢复数据派生结果
PG-SHANYU000-5dfc4fa9d2ac2c08,5dfc4fa9d2ac2c08a7ffd6121909433816c58d9b5aa2da520ea3db4b47de5d9a,ramp_1,ramp_1,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,858.9756605991365,4296,0.1999943330847814,0.1999999999999886,0.2000000000000454,0.0006612370326841,0.0021568583690705,0.0656103285027187,7.393279172651646e-06,0.0091420313484853,0.0165795746542753,0.0233698511263669,0.0005206049778214,0.1976764049003349,0.0009494886684597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.98463134393896,54.54508149112181,39.71045596828424,50.4197301625792,52.11422394894883,0.0417248945126726,0.2749764116963029,0.9011903699385042,19.21389137267327,4.841668896838353,-0.5867974729569878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417248945126726,1.1227776827033245,0.2749764116963029,0.0093326280813043,3.3828076662303634,0.016112575116522,3.1894654174739125,2.6767859830021905,2.6767859830021905,0.0233247695487772,0.0,3.1989468135349197,2.6853886223306382,1,本机恢复数据派生结果
PG-SHANYU000-87c700de4d844f0d,87c700de4d844f0dab98a8264f1c27e01d3cbe3aa573d02faf802f79177ca94f,overpass_2,overpass_2,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,2587.077243292838,12688,0.2039156020566594,0.1999999999998181,0.2000000000002728,-0.0020473538092239,0.003177407821773,0.0797146021987722,8.156722037933051e-05,0.0084947499427307,0.0140828727507129,0.0226179901019219,0.0001881470273953,0.0842670257553341,0.0007046824620367,-2.117807120648397e-13,0.0102459534679678,0.1001828274057139,0.0961466396889245,0.0001639725262781,0.1634783356551655,8.688736119477606e-08,32.710477360990616,55.67922191509508,32.21777679767015,45.86042030435851,49.35558622169143,0.0687369037127124,0.2368370601772131,1.669283933568305,5.5926248757053845,4.844033299801981,-0.5991146448791642,0.0004932023780949,0.1392269859557478,0.0,0.0,0.0,0.0001230700891364,0.0390946983167895,0.0,0.0687369037127124,0.6209767511284358,0.2368370601772131,0.0030350524981078,0.8693511902721323,0.0136232636118205,3.668517157907742,0.0,0.0,0.0557419378665623,0.0221997156078262,3.945627510766846,0.0,1,本机恢复数据派生结果
PG-SHANYU000-e5a441095d278e57,e5a441095d278e574c36c004fa0dc3f54d63ba10ada39f59384742d4d04b1fe9,turnaround_1,turnaround_1,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,245.6316721318418,2035,0.1207628673214561,0.0999999999999943,0.1000000000000227,0.0029581858942995,0.0035222066367267,0.1521306546041354,3.5527136788005016e-14,7.105427357601003e-14,3.632128050767296e-07,0.1427166406581842,0.0003781140688102,0.0229213662749259,4.3191463745423377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.582973739983752,21.411548890112627,14.585925407926451,21.359468222603763,21.371846006981187,0.0121163585204716,1.452852538638886e-06,0.0420401937627676,1.500000000000023,5.811438341385882e-06,-0.278632702453326,0.0016441264265109,0.0592562327357949,0.0,0.0,0.0,0.0001826184963909,0.0093667128720437,0.0,0.0115959065383568,0.4602722979911731,2.2671898198799536e-12,0.0011314577512524,0.0916854650996995,1.9563702492514487e-11,2.011182398321639,1.9946042780986115,1.9946042780986115,0.1500020826515809,0.0072415109202514,2.0351685795461854,2.023322969474043,1,本机恢复数据派生结果
PG-SHANYU000-d070ecb1b1784582,d070ecb1b17845828c86995f1e22d988dec6da2e58739fe0e35a1f7fcd34072e,cross_4,cross_4,labeled,1,six_axis,structural_inference,6,SHANYU000_local,v3_exact_match,derived-5c9367c4e69a233f,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,speed_abs_curvature_correlation:constant_input_set_to_zero,318.00574624766057,1592,0.1998779046182656,0.1999999999999993,0.200000000000017,-0.0043263471207297,0.0062380431210873,1.4876951046204807,1.4626610625299257e-55,1.6717855455347725e-13,0.022983869051984,0.1720349916198621,0.0069724380504886,4.021589732677622,0.0080111008587731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,0.009357064681631,0.0344758035779761,0.0140355970224465,3.347313985396082,0.0517137053669641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.1657305234821446,0.0,2.3999999999999773,2.3999999999999773,12,本机恢复数据派生结果
PG-SHANYU000-1266a7e4ee68b5c8,1266a7e4ee68b5c8ce3fe606adc85c974eec8c17b045bfeac43fc33a864e8074,narrow_1,narrow_1,labeled,1,six_axis,structural_inference,6,SHANYU000_local,v3_exact_match,derived-5c9367c4e69a233f,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,49.94271775080661,251,0.1997708710032264,0.1999999999999993,0.2000000000000028,-5.277925205027986e-08,0.0089824573620953,0.041167007899643,3.435625466377714e-07,0.0359126791819221,0.0392148744923671,0.0409080027194771,0.0040837416729671,0.0470710482911174,0.0140822800761436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.680476416511548,13.363095587771523,9.542352067967146,12.143003198440624,12.765619360262246,0.0592355490546363,0.2616546867693359,0.4142945174726659,2.0123025485146124,1.8187095006137963,-0.4702744507802354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566069418270704,0.2739328270861712,0.2616546867693359,0.0256201807232735,0.1450283827364852,0.0880984395124288,2.4,2.4,2.4,0.0276973075184361,0.0,2.3999999999999773,2.3999999999999773,12,本机恢复数据派生结果
PG-SHANYU000-9b865d34114e5806,9b865d34114e58062de6cd535a8745aa86c73d8b6c4546b3451aa878239b8bb5,cross_3,cross_3,labeled,0,six_axis,structural_inference,6,SHANYU000_local,v3_exact_match,derived-5c9367c4e69a233f,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,384.963532307288,1926,0.1999810557440457,0.1999999999999886,0.2000000000000454,-0.0040778661566802,0.0052121617943704,0.1240269638513395,6.084066885571532e-68,0.0080754585812793,0.0378602609682503,0.1167254337107228,0.0008057661070597,0.0248420622525596,0.0050703731218288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.995304467263911,4.0,4.0,4.0,4.0,0.0208486471774818,0.1514410438730015,0.0833945887099273,1.9844314216214327,0.6057641754920062,0.0143290190823949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.1098084635053584,0.0,2.399999999999636,2.399999999999636,12,本机恢复数据派生结果
PG-SHANYU000-ed82f3f5dcfaac0b,ed82f3f5dcfaac0baac8ba7ea922c171d4094de3b40c27341fc2a52aab612668,turnaround_2,turnaround_2,labeled,0,six_axis,structural_inference,6,SHANYU000_local,v3_exact_match,derived-5c9367c4e69a233f,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,speed_abs_curvature_correlation:constant_input_set_to_zero,386.52575169468247,1934,0.1999615890815739,0.1999999999999886,0.2000000000000454,0.0081217109700883,0.0169573042653419,0.1853418451467724,0.0103338409494365,0.0117310350066928,0.0586903126470788,0.1793672303556706,0.001285877623252,0.0381168043596672,0.0046441207047548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,0.0254359563980128,0.0880354689706183,0.0381539345970192,0.417019151580238,0.1320532034559275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.1771776661084771,0.0,2.399999999999636,2.399999999999636,12,本机恢复数据派生结果
PG-SHANYU000-a2c28197723f0ec6,a2c28197723f0ec6a4cb2769551525e127a4e1c104bbefc109c876b4adddc1bd,turnaround_4,turnaround_4,labeled,0,six_axis,explicit,6,SHANYU000_local,v3_exact_match,2e3182561ba5e89c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,351.88217565839005,1761,0.199933054351358,0.1999990368473092,0.19999999979396,0.0005071539429383,0.0294172812595656,0.1917981486062163,0.0124617964460584,0.0937725239874995,0.1182336053408784,0.1757900545597124,0.0047476925650898,0.0646654064252648,0.0209284577217352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.100809431540919,15.0,7.122706638898067,11.611886111870952,12.331024017727817,0.1247031152556169,0.3918839004277298,0.7631473314303232,2.90977149516174,2.2051057350105268,-0.5294893913077605,0.2046873898723156,0.984,0.0961782176788835,0.643839963602346,0.7923215284806255,0.052784409624089,1.4845490195638569,0.2226961029743002,0.1240919329047487,0.6470080306473752,0.4113425349781218,0.039495445365895,0.795945089468697,0.1931894447411903,2.310450594327653,2.3080931279796983,2.3080931279796983,0.1663915443262708,0.3697000743459558,2.3214520150141458,2.316749881307456,12,本机恢复数据派生结果
